,exit_velocity_mph,release_finger_speed,peak_finger_linear_speed,llb_stride_forward,llb_stride_length,wrist_snap_peak,wrist_snap_at_release,llb_stride_forward_norm,llb_hip_ankle_offset,peak_elbow_linear_speed,llb_hip_ankle_offset_norm,llb_head_forward_disp_norm,peak_shoulder_velocity,llb_head_forward_disp,seq_gap_trunk_to_shoulder,shoulder_peak_accel
exit_velocity_mph,1.0,0.7065434980509798,0.7065434980509798,0.5482855398017575,0.47241263555026797,0.472172071472362,0.46842463383363964,0.46167396275294614,-0.45904728221454216,0.4349826649794881,-0.4160623248045321,0.35461756991662335,0.35400372312912876,0.35138234510924315,-0.3460410145203591,0.34289280714128434
release_finger_speed,0.7065434980509798,1.0,1.0,0.5259438655381071,0.4709986277708056,0.5814535534082849,0.5153962877398696,0.4634104334274727,-0.48134304312531545,0.4377853602253123,-0.4523524818795213,0.4007561589440013,0.33191990064452376,0.3908740098730507,-0.40925225197359366,0.34509643433437276
peak_finger_linear_speed,0.7065434980509798,1.0,1.0,0.5259438655381071,0.4709986277708056,0.5814535534082849,0.5153962877398696,0.4634104334274727,-0.48134304312531545,0.4377853602253123,-0.4523524818795213,0.4007561589440013,0.33191990064452376,0.3908740098730507,-0.40925225197359366,0.34509643433437276
llb_stride_forward,0.5482855398017575,0.5259438655381071,0.5259438655381071,1.0,0.9459036569767416,0.21415505558199438,0.4348351184673247,0.8898737919455394,-0.7018592227270091,0.4396349808418874,-0.6395714073654827,0.304459397347881,0.37098397405626427,0.3045426415876601,-0.17658779329865557,0.2551052053525631
llb_stride_length,0.47241263555026797,0.4709986277708056,0.4709986277708056,0.9459036569767416,1.0,0.24458553305172245,0.4456045649538947,0.8911226483558823,-0.6456479796322754,0.5086382215323486,-0.6078380041109372,0.27472540574831195,0.43303997612873796,0.276675378493157,-0.2406557396773845,0.32197735595352867
wrist_snap_peak,0.472172071472362,0.5814535534082849,0.5814535534082849,0.21415505558199438,0.24458553305172245,1.0,0.5993255999096503,0.2792649117727253,-0.2856446287856485,0.3926063927977565,-0.3151608860032134,-0.04941492838811443,0.15978545578987066,-0.05024820599723195,-0.18799291731554024,0.027697781469567983
wrist_snap_at_release,0.46842463383363964,0.5153962877398696,0.5153962877398696,0.4348351184673247,0.4456045649538947,0.5993255999096503,1.0,0.37284385098169676,-0.2766601909583183,0.3698796753020188,-0.24806016726929964,-0.03458739271657672,0.30161656858099956,-0.036089000810758755,-0.24780556941690066,0.13261399651187922
llb_stride_forward_norm,0.46167396275294614,0.4634104334274727,0.4634104334274727,0.8898737919455394,0.8911226483558823,0.2792649117727253,0.37284385098169676,1.0,-0.6370259933032556,0.3978205955574426,-0.6903432943312786,0.3343848493122519,0.32481345917411647,0.324909242267499,-0.10364769159391918,0.23055434333526792
llb_hip_ankle_offset,-0.45904728221454216,-0.48134304312531545,-0.48134304312531545,-0.7018592227270091,-0.6456479796322754,-0.2856446287856485,-0.2766601909583183,-0.6370259933032556,1.0,-0.2377113861679584,0.9691514011190181,-0.20308220288654436,-0.29882268797020567,-0.19696770332954738,0.18562211494861985,-0.14795344782782888
peak_elbow_linear_speed,0.4349826649794881,0.4377853602253123,0.4377853602253123,0.4396349808418874,0.5086382215323486,0.3926063927977565,0.3698796753020188,0.3978205955574426,-0.2377113861679584,1.0,-0.2138076494377969,0.08364195607777936,0.2977803067688321,0.09077268719593803,-0.25556056171220615,0.2987304791177938
llb_hip_ankle_offset_norm,-0.4160623248045321,-0.4523524818795213,-0.4523524818795213,-0.6395714073654827,-0.6078380041109372,-0.3151608860032134,-0.24806016726929964,-0.6903432943312786,0.9691514011190181,-0.2138076494377969,1.0,-0.2222911543049229,-0.2706817743555135,-0.210975925864746,0.14264109370522224,-0.1273136778749241
llb_head_forward_disp_norm,0.35461756991662335,0.4007561589440013,0.4007561589440013,0.304459397347881,0.27472540574831195,-0.04941492838811443,-0.03458739271657672,0.3343848493122519,-0.20308220288654436,0.08364195607777936,-0.2222911543049229,1.0,0.17680991330968288,0.9993518337943711,-0.10688050936673217,0.249830064678103
peak_shoulder_velocity,0.35400372312912876,0.33191990064452376,0.33191990064452376,0.37098397405626427,0.43303997612873796,0.15978545578987066,0.30161656858099956,0.32481345917411647,-0.29882268797020567,0.2977803067688321,-0.2706817743555135,0.17680991330968288,1.0,0.17694298628709298,-0.604772679527445,0.8826998528177475
llb_head_forward_disp,0.35138234510924315,0.3908740098730507,0.3908740098730507,0.3045426415876601,0.276675378493157,-0.05024820599723195,-0.036089000810758755,0.324909242267499,-0.19696770332954738,0.09077268719593803,-0.210975925864746,0.9993518337943711,0.17694298628709298,1.0,-0.10998339265207109,0.24835995552480924
seq_gap_trunk_to_shoulder,-0.3460410145203591,-0.40925225197359366,-0.40925225197359366,-0.17658779329865557,-0.2406557396773845,-0.18799291731554024,-0.24780556941690066,-0.10364769159391918,0.18562211494861985,-0.25556056171220615,0.14264109370522224,-0.10688050936673217,-0.604772679527445,-0.10998339265207109,1.0,-0.6423113673989118
shoulder_peak_accel,0.34289280714128434,0.34509643433437276,0.34509643433437276,0.2551052053525631,0.32197735595352867,0.027697781469567983,0.13261399651187922,0.23055434333526792,-0.14795344782782888,0.2987304791177938,-0.1273136778749241,0.249830064678103,0.8826998528177475,0.24835995552480924,-0.6423113673989118,1.0
