,pitch_speed_mph,peak_wrist_linear_speed,peak_elbow_linear_speed,release_finger_speed,peak_finger_linear_speed,release_decel_50ms,llb_elbow_angle_at_strike,llb_knee_forward_vel_150ms,llb_ankle_velocity_at_strike,llb_knee_forward_vel_150ms_norm,llb_ankle_velocity_post_strike,wrist_snap_peak,llb_knee_forward_vel_100ms,min_knee_flexion,llb_knee_forward_vel_100ms_norm,llb_shoulder_abd_at_strike
pitch_speed_mph,1.0,0.6803721743921656,0.6779532485509289,0.6260027749166112,0.6260027749166112,0.4814889992426398,0.4261648736892687,0.3388986523483507,0.3341799083386696,0.3268689997473025,0.32142405246250033,0.31251107661678473,0.30386773694893293,-0.2895167211640535,0.28636669140447496,-0.27682509840265107
peak_wrist_linear_speed,0.6803721743921656,1.0,0.7309355684993482,0.6857261744655717,0.6857261744655717,0.46080974054444945,0.4327843649937456,0.33999103325009117,0.3867977160009465,0.3315891130956206,0.3335751233058263,0.483238710149149,0.2765112687435812,-0.16480431559782732,0.2624472138300695,-0.30682259733210054
peak_elbow_linear_speed,0.6779532485509289,0.7309355684993482,1.0,0.7029709182688622,0.7029709182688622,0.4647157452108432,0.4947805697807875,0.3117607148190773,0.32251469826057394,0.2903113657774998,0.30044059576152016,0.4548547381473444,0.2731356665971859,-0.23118277919864827,0.24287494781048263,-0.2830462496690319
release_finger_speed,0.6260027749166112,0.6857261744655717,0.7029709182688622,1.0,1.0,0.7820954126588452,0.365663284240416,0.29759648893152885,0.28454524825721245,0.2904930942235416,0.3176705761519553,0.4421047867050122,0.24158965813319416,-0.2652124630373286,0.22782147982903495,-0.25153095950169596
peak_finger_linear_speed,0.6260027749166112,0.6857261744655717,0.7029709182688622,1.0,1.0,0.7820954126588452,0.365663284240416,0.29759648893152885,0.28454524825721245,0.2904930942235416,0.3176705761519553,0.4421047867050122,0.24158965813319416,-0.2652124630373286,0.22782147982903495,-0.25153095950169596
release_decel_50ms,0.4814889992426398,0.46080974054444945,0.4647157452108432,0.7820954126588452,0.7820954126588452,1.0,0.10677376495959019,0.12090337442105353,0.0256519226075089,0.12165037958089107,0.09414419982081236,0.41588194501112974,0.09655411135655939,-0.25125496856844015,0.09430255434660843,-0.06741973314953344
llb_elbow_angle_at_strike,0.4261648736892687,0.4327843649937456,0.4947805697807875,0.365663284240416,0.365663284240416,0.10677376495959019,1.0,0.7613979366373842,0.6729622329242156,0.7515359468146862,0.7424358643990517,0.16902957829166324,0.7379186766483146,0.045298438026453586,0.7226730435619155,-0.6775588588312634
llb_knee_forward_vel_150ms,0.3388986523483507,0.33999103325009117,0.3117607148190773,0.29759648893152885,0.29759648893152885,0.12090337442105353,0.7613979366373842,1.0,0.8671247428198502,0.9984747087443184,0.943357020678956,0.17225339258966785,0.9881551948994189,-0.04602867343066503,0.9843210264976688,-0.8676233884330028
llb_ankle_velocity_at_strike,0.3341799083386696,0.3867977160009465,0.32251469826057394,0.28454524825721245,0.28454524825721245,0.0256519226075089,0.6729622329242156,0.8671247428198502,1.0,0.8628017911126685,0.8910261330996838,0.14720903008815217,0.84856607991642,0.041088829669465775,0.8412529374906575,-0.6841196414080477
llb_knee_forward_vel_150ms_norm,0.3268689997473025,0.3315891130956206,0.2903113657774998,0.2904930942235416,0.2904930942235416,0.12165037958089107,0.7515359468146862,0.9984747087443184,0.8628017911126685,1.0,0.9401553277450295,0.16838454972343214,0.9871921914471332,-0.052429188844538246,0.9870783133221532,-0.864386191165578
llb_ankle_velocity_post_strike,0.32142405246250033,0.3335751233058263,0.30044059576152016,0.3176705761519553,0.3176705761519553,0.09414419982081236,0.7424358643990517,0.943357020678956,0.8910261330996838,0.9401553277450295,1.0,0.13751677696179998,0.912028123811616,-0.008091009256217052,0.9052438630149952,-0.8542645643324355
wrist_snap_peak,0.31251107661678473,0.483238710149149,0.4548547381473444,0.4421047867050122,0.4421047867050122,0.41588194501112974,0.16902957829166324,0.17225339258966785,0.14720903008815217,0.16838454972343214,0.13751677696179998,1.0,0.1637026397467093,-0.08635354033881604,0.15671304830041183,-0.20395027612049857
llb_knee_forward_vel_100ms,0.30386773694893293,0.2765112687435812,0.2731356665971859,0.24158965813319416,0.24158965813319416,0.09655411135655939,0.7379186766483146,0.9881551948994189,0.84856607991642,0.9871921914471332,0.912028123811616,0.1637026397467093,1.0,-0.024836229941384843,0.9976275797101979,-0.8366280171976574
min_knee_flexion,-0.2895167211640535,-0.16480431559782732,-0.23118277919864827,-0.2652124630373286,-0.2652124630373286,-0.25125496856844015,0.045298438026453586,-0.04602867343066503,0.041088829669465775,-0.052429188844538246,-0.008091009256217052,-0.08635354033881604,-0.024836229941384843,1.0,-0.03242220774073963,0.070653157948133
llb_knee_forward_vel_100ms_norm,0.28636669140447496,0.2624472138300695,0.24287494781048263,0.22782147982903495,0.22782147982903495,0.09430255434660843,0.7226730435619155,0.9843210264976688,0.8412529374906575,0.9870783133221532,0.9052438630149952,0.15671304830041183,0.9976275797101979,-0.03242220774073963,1.0,-0.8298947077671323
llb_shoulder_abd_at_strike,-0.27682509840265107,-0.30682259733210054,-0.2830462496690319,-0.25153095950169596,-0.25153095950169596,-0.06741973314953344,-0.6775588588312634,-0.8676233884330028,-0.6841196414080477,-0.864386191165578,-0.8542645643324355,-0.20395027612049857,-0.8366280171976574,0.070653157948133,-0.8298947077671323,1.0
